pipeline,competitor,ad_id,stopped_on,last_seen,first_seen
facebook,loora,1276705914633244,2026-06-04,2026-05-27,2026-05-27
facebook,loora,1347418030649936,2026-06-04,2026-05-27,2026-05-27
facebook,loora,1412389343988596,2026-06-04,2026-05-27,2026-05-27
facebook,loora,1466680661478322,2026-06-04,2026-05-27,2026-05-27
facebook,loora,1489024535719287,2026-06-04,2026-05-27,2026-05-27
facebook,loora,1556620752560045,2026-06-04,2026-05-27,2026-05-27
facebook,loora,1619041622509778,2026-06-04,2026-05-27,2026-05-27
facebook,loora,1654898552218834,2026-06-04,2026-05-27,2026-05-27
facebook,loora,1679747593034871,2026-06-04,2026-05-27,2026-05-27
facebook,loora,1890705918285363,2026-06-04,2026-05-27,2026-05-27
facebook,loora,1905092613368632,2026-06-04,2026-05-27,2026-05-27
facebook,loora,2014484739469344,2026-06-04,2026-05-27,2026-05-27
facebook,loora,2483405618767529,2026-06-04,2026-05-27,2026-05-27
facebook,loora,26472833265715362,2026-06-04,2026-05-27,2026-05-27
facebook,loora,26858246627159221,2026-06-04,2026-05-27,2026-05-27
facebook,loora,2816620738678016,2026-06-04,2026-05-27,2026-05-27
facebook,loora,3217172991801670,2026-06-04,2026-05-27,2026-05-27
facebook,loora,4371337003141421,2026-06-04,2026-05-27,2026-05-27
facebook,loora,4468359470086868,2026-06-04,2026-05-27,2026-05-27
facebook,loora,818640181129690,2026-06-04,2026-05-27,2026-05-27
facebook,loora,920991640802146,2026-06-04,2026-05-27,2026-05-27
facebook,loora,956413676791922,2026-06-04,2026-05-27,2026-05-27
facebook,loora,957241043876808,2026-06-04,2026-05-27,2026-05-27
facebook,loora,979523084446611,2026-06-04,2026-05-27,2026-05-27
facebook,loora,989760113647100,2026-06-04,2026-05-27,2026-05-27
facebook,loora,999353006369035,2026-06-04,2026-05-27,2026-05-27
facebook,loora,1009996348169330,2026-06-11,2026-06-04,2026-06-04
facebook,loora,1261073506142042,2026-06-11,2026-06-04,2026-05-27
facebook,loora,1286341193458429,2026-06-11,2026-06-04,2026-05-27
facebook,loora,1288587726756839,2026-06-11,2026-06-04,2026-05-27
facebook,loora,827379027114172,2026-06-11,2026-06-04,2026-05-27
facebook,loora,869185468874772,2026-06-11,2026-06-04,2026-06-04
facebook,loora,3920858908216732,2026-06-12,2026-06-11,2026-05-27
facebook,loora,1208953758961208,2026-06-14,2026-06-13,2026-05-27
facebook,loora,1546272363585692,2026-06-14,2026-06-13,2026-06-04
facebook,loora,1726347351867581,2026-06-14,2026-06-13,2026-06-11
