row_rank,competitor_name,facebook_page_id,facebook_page_name,facebook_page_followers,target_country,ad_library_id,ad_library_url,ad_start_date,ad_end_date,has_low_impression_warning,ad_has_multiple_versions,ad_version_count,ad_primary_text,ad_description,ad_cta_label,ad_destination_url,ad_media_type,ad_distribution_platforms,creative_count_in_ad,creative_index_in_ad,creative_aspect_ratio,facebook_video_cdn_url_at_scrape,facebook_thumbnail_cdn_url_at_scrape,facebook_cdn_url_expiry_at_scrape,scrape_run_date,r2_public_url,first_scrape_run_date,latest_scrape_run_date,competitor_analysis_docx_r2_url,supernova_rewrite_docx_r2_url,orig_frame_urls,gen_panel_urls,char_sheet_urls
1,Fluently,61572409659045,Fluently - AI English Tutor,,ALL,2020774215463610,https://www.facebook.com/ads/library/?id=2020774215463610,2026-05-07,,FALSE,FALSE,2,Speak English with confidence!,,,https://app.getfluently.app/onboarding/intro?fbclid=IwZXh0bgNhZW0CMTAAYnJpZBEySjhLQjB0SXRVMnhyYTdoWHNydGMGYXBwX2lkDzU0MTYzOTQ5Mzg4OTAyNQABHhdXLNMMs4YoTg7T4GEPr6eLibLIcs7xA2PIOQYQ4k4esbUnNpMKXB2sIbhg_aem_KmjNjrMgZlG34PgUkIpLLw,Image,,1,0,0.805,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/690652547_1510607973981618_6353254890177022311_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=106&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=8G3cM_u7JmwQ7kNvwGvY6FR&_nc_oc=AdoTbgrPznZ0u5saFiwDZYE07N8dLBp32ZWb-l69oiPzkCmVPP6JJDNz7k8VQUYxyN0&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=2cMDbyV0Qvothh9BdsL1PQ&_nc_ss=7b2a8&oh=00_Af46OOfVa2mqgNkP5R_7_is-gXhgr4w0sO5lMOt-JaWoFw&oe=6A1E10D7,2026-06-01T23:08:07.000Z,2026-05-28,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/2020774215463610.jpg,2026-05-28,2026-05-28,,,,,
1,Fluently,627280337124461,Fluently - AI English Tutor,,ALL,973909435205486,https://www.facebook.com/ads/library/?id=973909435205486,2026-02-25,,,false,1,,,,https://www.facebook.com/61572409659045/,Video,,1,0,9:16,https://scontent.fblr1-4.fna.fbcdn.net/o1/v/t2/f2/m412/AQNh6OMAPavA7YRkQio9jd0i8-VB5GOsYm4z3nwAA8Y-Z-I_bgHXgM8c_W3klFaKGchp8cebuE1V2Unlh3rXt0NLGNt5YVQqNFy32aJ2Dw.mp4?_nc_cat=104&_nc_oc=Adp5kDCnb1zeshxd6jfyX_vXaOFBkU-RJmkJ4taV9j8jR8M-hCZe5Z2H_s2vGRz1iJyg6jqaUPG6VkvJKlKrs_x6&_nc_sid=8bf8fe&_nc_ht=scontent.fblr1-4.fna.fbcdn.net&_nc_ohc=loBRZ4x3gkcQ7kNvwEdyKB1&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6ODMxOTY2NTYyOTMzNjUxLCJhc3NldF9hZ2VfZGF5cyI6MTY3LCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6NDcsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=M4f1T-4vGHJghDMNqUyj_Q&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af8PJjkFz_Hl3s-tW79CYMVlNjDschFm3uOI-Krgm_LXkA&oe=6A275B0E,https://scontent.fblr1-3.fna.fbcdn.net/v/t39.35426-6/640167257_925801267065140_530110770138704047_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=8fT0jUzWrK0Q7kNvwGj4iVP&_nc_oc=AdrnZPKwxUJOUvXJkWelIdlC8QmPW07pLloduDUtWH-qSSFd04xMWKupciVfsgQoN7JsKpd6HPegTtEqIkMMO2Nm&_nc_zt=14&_nc_ht=scontent.fblr1-3.fna&_nc_gid=M4f1T-4vGHJghDMNqUyj_Q&_nc_ss=7b2a8&oh=00_Af9QhSgdA6T0vFdoh5WJ0heIOSJx6a_6HbFCiAGVL953Ug&oe=6A276198,2026-06-04T15:41:56.148Z,2026-06-04,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/973909435205486.mp4,2026-05-28,2026-06-04,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/973909435205486_competitor_analysis.docx,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/973909435205486_supernova_rewrite.docx,,,
3,Fluently,61572409659045,Fluently - AI English Tutor,,ALL,1861692997873496,https://www.facebook.com/ads/library/?id=1861692997873496,2026-04-29,,FALSE,FALSE,1,"We help you break the language barrier!
PLAY.GOOGLE.COM
Find out your English speaking level now!",,Install now,http://play.google.com/store/apps/details?id=app.getfluently.app&fbclid=IwZXh0bgNhZW0CMTAAYnJpZBEySjhLQjB0SXRVMnhyYTdoWHNydGMGYXBwX2lkDzU0MTYzOTQ5Mzg4OTAyNQABHpw-TOnjPbc3-Ro9z6AWLIF50l9_I-V-OWA1lTRBW_IYBr9OG21NwuFZsxTt_aem_u4wBEUzS6_K-gWqMQS8XeA,Video,,1,0,0.563,https://scontent.fblr22-2.fna.fbcdn.net/o1/v/t2/f2/m412/AQPidTOvf4QT_QnuLnRbeNvYzh3kjBpC5woxlsvfZosbSDbTski0EWk3skONBNtMzec8B6ovKq8pOWuKS4fohRSUyRMZntMiVulsclgJtw.mp4?_nc_cat=105&_nc_oc=Adqx8ZN1sE6P98CRO5XnJkfGfZ56k2oFNDqnmsvYDZhIpR-HnK3FVV21ZZCB7a_Kjss&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-2.fna.fbcdn.net&_nc_ohc=BccjCdH1ZiMQ7kNvwER5pPw&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6NDEwNzg1MTA1Mjc2NTg0NCwiYXNzZXRfYWdlX2RheXMiOjExOCwidmlfdXNlY2FzZV9pZCI6MTA3OTksImR1cmF0aW9uX3MiOjQ4LCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&_nc_gid=2cMDbyV0Qvothh9BdsL1PQ&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af4jW5NLlhRUx2uU0DlF4BYPpTH1yZl41Utl22viqczPmw&oe=6A1E0A45,https://scontent.fblr22-2.fna.fbcdn.net/v/t39.35426-6/684209012_1399394271955261_8718013076265194415_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=ugF2nlgTn98Q7kNvwGw_DdQ&_nc_oc=Adp943Svuiakh4UoMxMgodrdq7zLa-yB7mSz1IeF387HajAuPGA2R2wXcOnCCwoYuI4&_nc_zt=14&_nc_ht=scontent.fblr22-2.fna&_nc_gid=2cMDbyV0Qvothh9BdsL1PQ&_nc_ss=7b2a8&oh=00_Af4tmAfjgz8Kc3y1Tk4S8llzpleAWjZ9IpuXQlA22cy6KQ&oe=6A1E0632,2026-06-01T22:40:05.000Z,2026-05-28,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1861692997873496.mp4,2026-05-28,2026-05-28,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1861692997873496_competitor_analysis.docx,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1861692997873496_supernova_rewrite.docx,,,
2,Fluently,627280337124461,Fluently - AI English Tutor,,ALL,987587470425976,https://www.facebook.com/ads/library/?id=987587470425976,2026-05-12,,,false,1,,,Install now,https://www.facebook.com/61572409659045/,Video,,1,0,9:16,https://scontent.fblr1-6.fna.fbcdn.net/o1/v/t2/f2/m412/AQOGOWKWQe73lMsE8txxsHBVTrTL_mQQ0Bl2vC4dLHuphtOyBapZzHotgGFBmSYcJz43RzxSUn-U9fTX_jqqdy1NWF-RIoLU7FvRXEcWxQ.mp4?_nc_cat=102&_nc_oc=AdrAtzx4ceQ_vRPzdyerfUC3_VBGFwaZ6oFRr_yknEm43spDfTOIBV0ljzsNA0n5LpQ4CdvZcDbO1HgKVtsdt6ma&_nc_sid=8bf8fe&_nc_ht=scontent.fblr1-6.fna.fbcdn.net&_nc_ohc=OzSwmiRenlAQ7kNvwHIEHEa&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTMwMzg0ODQzNTIzMDc5OCwiYXNzZXRfYWdlX2RheXMiOjIzLCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6NjIsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=M4f1T-4vGHJghDMNqUyj_Q&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af_I7dp_5F2IVlReoDAllhxc5KwJNzDu79nKhXJZ_Bhvnw&oe=6A275680,https://scontent.fblr1-3.fna.fbcdn.net/v/t39.35426-6/697082782_1525041389236128_3264307776427464048_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=-e3urPLv4uQQ7kNvwFDdrnX&_nc_oc=AdoxGaow4YeTRFmVnmrxY4Rno5RsiKj1UGU2cWgi7BG8EsFgJk2HcX9BVb40A6wl935c3YQ0xBM5ayNAIZLV_ajB&_nc_zt=14&_nc_ht=scontent.fblr1-3.fna&_nc_gid=M4f1T-4vGHJghDMNqUyj_Q&_nc_ss=7b2a8&oh=00_Af-yoIWGw97ktP18ckMJcEDQK9BHrzK57CeQyO-oBRNKxQ&oe=6A2775EF,2026-06-04T15:41:56.148Z,2026-06-04,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/987587470425976.mp4,2026-05-28,2026-06-04,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/987587470425976_competitor_analysis.docx,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/987587470425976_supernova_rewrite.docx,,,
6,Fluently,61572409659045,Fluently - AI English Tutor,,ALL,1724170535252280,https://www.facebook.com/ads/library/?id=1724170535252280,2026-05-22,2026-05-27,FALSE,FALSE,4,Speak English with confidence!,,,https://app.getfluently.app/onboarding/intro?fbclid=IwZXh0bgNhZW0CMTAAYnJpZBEySjhLQjB0SXRVMnhyYTdoWHNydGMGYXBwX2lkDzU0MTYzOTQ5Mzg4OTAyNQABHjFY4Flxll7NLveBFIS8DG9B_YOGrlQX6Hy5ZIoLcxQLOoQKwcdO6PAHPV_R_aem_u__RBBYOqRGXlkCrPTFp9g,Video,,1,0,0.563,https://scontent.fblr22-2.fna.fbcdn.net/o1/v/t2/f2/m366/AQNVRLCfZbnBMSuTl5jFKy6V0FLH07Bmq1fAH2kVtbNW7xMhEcbVvxITHKZcyoopzZh_6YiXW5WJW2fBhNOGCCEPgy-QlQ1LzT4eYeOlYw.mp4?_nc_cat=107&_nc_oc=AdqoKn5Ml-30meUBXqEjWM5szV2E_QRpI0j-RJRFLzrLHHLt97uT_f3t5FWcjfKJxZA&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-2.fna.fbcdn.net&_nc_ohc=GZkLj_3bCMgQ7kNvwGdMF4T&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MjAwNDQ3MzcwMDM4OTQ0NywiYXNzZXRfYWdlX2RheXMiOjI2MSwidmlfdXNlY2FzZV9pZCI6MTA3OTksImR1cmF0aW9uX3MiOjQ5LCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&_nc_gid=2oVWth7zsdNIuia1wNKYrQ&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af6Jv-bl0kxGs1etdcMxgrmMbkjjf1yWlKvUZlh-7rSp6Q&oe=6A1E0B5F,https://scontent.fblr22-2.fna.fbcdn.net/v/t39.35426-6/686479374_986955007160881_419755624132258524_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=kNc9hzt1Pe4Q7kNvwH6oMCg&_nc_oc=Adqc4ijOGwVwGCb3TloRk7dkv8kbCtw9qZ_ifu2z21Q4WvVMVarS5L8te_pCI2SnHQU&_nc_zt=14&_nc_ht=scontent.fblr22-2.fna&_nc_gid=2oVWth7zsdNIuia1wNKYrQ&_nc_ss=7b2a8&oh=00_Af66uqo6bySjAhbkRBpSox3lyS3uEckF9fzNB4MWSuNcKw&oe=6A1E15E8,2026-06-01T22:44:47.000Z,2026-05-28,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1724170535252280.mp4,2026-05-28,2026-05-28,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1724170535252280_competitor_analysis.docx,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1724170535252280_supernova_rewrite.docx,,,
3,Fluently,627280337124461,Fluently - AI English Tutor,,ALL,1503537474699018,https://www.facebook.com/ads/library/?id=1503537474699018,2026-03-05,,,false,1,,,,https://www.facebook.com/61572409659045/,Video,,1,0,9:16,https://scontent.fblr1-5.fna.fbcdn.net/o1/v/t2/f2/m412/AQNO8vm0hn-meHVVBGIUq58Yg_KiAia9DOi3ySxjkd8cklID21dSZBF5ULfs_krGw9sHD5lUj6K6wOClbrmKIl6SG6GlAvtdMNCVhw4B0A.mp4?_nc_cat=111&_nc_oc=AdoHgmBlKo8ww4Vimy2xILTNagY-_IWmNuWYFCEhmn_0tZau3-EmIu79gLo0BV2Wt8qe4ckc7Y7KwIGmSmc2UJgb&_nc_sid=8bf8fe&_nc_ht=scontent.fblr1-5.fna.fbcdn.net&_nc_ohc=TwkzgDrrhKIQ7kNvwGsA4dK&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MjM5MTA0NDU0MTM0NjYyOSwiYXNzZXRfYWdlX2RheXMiOjkxLCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6NTcsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=M4f1T-4vGHJghDMNqUyj_Q&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af9nzgjKIo_DkO5Vz0yJUAeBnuIXWw7aILL8I_i6nlQhFw&oe=6A2771AB,https://scontent.fblr1-8.fna.fbcdn.net/v/t39.35426-6/647074766_27013056791618396_5416219537936410360_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=tQkjOE9q5vAQ7kNvwECVtqX&_nc_oc=Adrn6amCmH5i27ugL4CHxl-HR6Z9k2End2v_Pn2KfiiVGPVmeTchrcI4-d8_FjJwCLTc7pWWWy6e21tlbPqtDVyc&_nc_zt=14&_nc_ht=scontent.fblr1-8.fna&_nc_gid=M4f1T-4vGHJghDMNqUyj_Q&_nc_ss=7b2a8&oh=00_Af9mGABeO_Wmp9XiLY1KWNZcf5vq5O7k0OlNKsUeQ-Es_g&oe=6A277225,2026-06-04T15:41:56.148Z,2026-06-04,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1503537474699018.mp4,2026-05-28,2026-06-04,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1503537474699018_competitor_analysis.docx,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1503537474699018_supernova_rewrite.docx,,,
8,Fluently,61572409659045,Fluently - AI English Tutor,,ALL,1489436636187003,https://www.facebook.com/ads/library/?id=1489436636187003,2026-05-11,,FALSE,FALSE,1,"Speak English with confidence!
GETFLUENTLY.APP
Take the quiz
Improve pronunciation, vocabulary, and confidence with real-time AI feedback.
See details",,,https://app.getfluently.app/onboarding/intro?fbclid=IwZXh0bgNhZW0CMTAAYnJpZBEySjhLQjB0SXRVMnhyYTdoWHNydGMGYXBwX2lkDzU0MTYzOTQ5Mzg4OTAyNQABHhdXLNMMs4YoTg7T4GEPr6eLibLIcs7xA2PIOQYQ4k4esbUnNpMKXB2sIbhg_aem_KmjNjrMgZlG34PgUkIpLLw,Image,,1,0,1.000,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/695305854_1297925808449814_86747699592740048_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=103&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=6v1V7CuNzQwQ7kNvwHaAi-6&_nc_oc=AdrgMKpMmElPzyYfLjxY10gOaBeOhjiZY2CGXiwxma7SrlVuspA693l8GfJaRXFK9dw&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=YEfuwNwTRubLU_P99TFDmw&_nc_ss=7b2a8&oh=00_Af6FnJGJrkix0oXxpaVieUa-xnpyuySSeYHdbYFPT8NwAQ&oe=6A1E073F,2026-06-01T22:27:11.000Z,2026-05-28,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1489436636187003.jpg,2026-05-28,2026-05-28,,,,,
4,Fluently,627280337124461,Fluently - AI English Tutor,,ALL,2066294067499861,https://www.facebook.com/ads/library/?id=2066294067499861,2026-02-25,,,false,1,,,,https://www.facebook.com/61572409659045/,Video,,1,0,9:16,https://scontent.fblr1-4.fna.fbcdn.net/o1/v/t2/f2/m412/AQPHECL5jSnoLaNlAf_vuf5OSLB3IiJS5yOJYxbZS5uZRUu9iNdYwHJ0UTDHA2yJzUreH4ZamVQN-afrngCCfd7pR0dsz1cf-CX8QcX22Q.mp4?_nc_cat=104&_nc_oc=Adpkx6oPjeDC8024mRWA6tW7ep6MigCgzfvtSP_-KKpNTOnkDl1Wb3zkllno0UqsLgaLvoAdeSZIJ6ZhoD2INfKr&_nc_sid=8bf8fe&_nc_ht=scontent.fblr1-4.fna.fbcdn.net&_nc_ohc=MfMcM8kvSnwQ7kNvwHY3vmb&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6OTIwNzkzNDgwNTMwNDUwLCJhc3NldF9hZ2VfZGF5cyI6MTAwLCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6NTgsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=M4f1T-4vGHJghDMNqUyj_Q&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af8wKzIePbOzGIaLPjn6Un_FBC9w7aUPqD1Vjxkt_oTJAg&oe=6A27752E,https://scontent.fblr1-4.fna.fbcdn.net/v/t39.35426-6/641436042_921720300448890_6845690370903822074_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=q4PuY6J0UdsQ7kNvwHAQfwX&_nc_oc=AdpXsJTx307If80gskRTSs8CRf3QQcmPoRYDoj4JGLMiuNb5fcruxAgdLzqFr_nVeFLnSGxeioBkp_pYLX1qnX5A&_nc_zt=14&_nc_ht=scontent.fblr1-4.fna&_nc_gid=M4f1T-4vGHJghDMNqUyj_Q&_nc_ss=7b2a8&oh=00_Af-KN40RMyPmmXqsqpnqN-2GXb6ylcOHzD0IkGm7m9Fung&oe=6A276B9F,2026-06-04T15:41:56.148Z,2026-06-04,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/2066294067499861.mp4,2026-05-28,2026-06-04,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/2066294067499861_competitor_analysis.docx,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/2066294067499861_supernova_rewrite.docx,,,
5,Fluently,627280337124461,Fluently - AI English Tutor,,ALL,1596212348295807,https://www.facebook.com/ads/library/?id=1596212348295807,2026-03-05,,,false,1,,,,https://www.facebook.com/61572409659045/,Video,,1,0,9:16,https://scontent.fblr1-8.fna.fbcdn.net/o1/v/t2/f2/m412/AQNe6Z7VQK_8Cx98CVV_BRWZ8knI35tBg-qHMwfF_m_WZPSKjReXyHTBFl0Ccc1XS6Txq3mB7he-zqLzOHjlToTEzGIeoDIjH6ZuwGPlSw.mp4?_nc_cat=101&_nc_oc=Adq5ufdBANdZ5w5o0a9VHZt0w_Y8JriwR1bNVoCQ352K3MRjPxyqtZgHEmK_S3ZG22geRikjTuZY89KVTSLYMcpS&_nc_sid=8bf8fe&_nc_ht=scontent.fblr1-8.fna.fbcdn.net&_nc_ohc=Wsh2-QxYq-IQ7kNvwHsJ2fr&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6Mjk4NjAyNzUxNDkzOTYxNSwiYXNzZXRfYWdlX2RheXMiOjkxLCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6MzMsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=M4f1T-4vGHJghDMNqUyj_Q&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af8ts49fS7Wk5E0BucxEpgiQ5H8G71MmqbBKc8NGhEJy9w&oe=6A277079,https://scontent.fblr1-9.fna.fbcdn.net/v/t39.35426-6/646130448_897021486271824_5889986491495978632_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=rcnu-jycE5YQ7kNvwHvWgx5&_nc_oc=AdqbdgLas-2ivsJ9ZfXX4qi834ulQXyqkzLBtzMaOwegf814xbzknWWxXez46z_KYSvqUHqFHfPx7HMtUFAe14A-&_nc_zt=14&_nc_ht=scontent.fblr1-9.fna&_nc_gid=M4f1T-4vGHJghDMNqUyj_Q&_nc_ss=7b2a8&oh=00_Af-izSyLU9yvGP5ILFwig_WkTdeOE4O6ZX5C89fzwYoDAw&oe=6A2787CB,2026-06-04T15:41:56.149Z,2026-06-04,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1596212348295807.mp4,2026-05-28,2026-06-04,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1596212348295807_competitor_analysis.docx,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1596212348295807_supernova_rewrite.docx,,,
12,Fluently,61572409659045,Fluently - AI English Tutor,,ALL,834462509182127,https://www.facebook.com/ads/library/?id=834462509182127,2026-04-29,,FALSE,FALSE,2,We help you break the language barrier!,,,http://play.google.com/store/apps/details?id=app.getfluently.app&fbclid=IwZXh0bgNhZW0CMTAAYnJpZBEySjhLQjB0SXRVMnhyYTdoWHNydGMGYXBwX2lkDzU0MTYzOTQ5Mzg4OTAyNQABHtV9gXbdJIXf3Ptc4YpUUEDjAl9VgFbL-HpnlgWY7bCVkOT7PAnfhzY4WOJk_aem_zi-IYXVKX5Ol8Ngtxy4-jA,Video,,1,0,0.563,https://scontent.fblr22-2.fna.fbcdn.net/o1/v/t2/f2/m412/AQNau1g6K1EEuQzz0JzFXegDCVOzEBvU3Pm-XbK4vN2S_Oq3Xp83ocsCgK-jbUdqekxV2FKdUDQ4s-golixCmfHRKMGnbTqhcjeb_s6WWg.mp4?_nc_cat=100&_nc_oc=AdqonbkD9DcXImpgHX-Cr7Gr23XnqgSoVsv0WXLJa94eD9bb9M1xD6_O09-80jCf8nY&_nc_sid=8bf8fe&_nc_ht=scontent.fblr22-2.fna.fbcdn.net&_nc_ohc=ySY6EmbR4qYQ7kNvwEXY8Ul&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTY0ODEyMjQwOTg3MjE2NiwiYXNzZXRfYWdlX2RheXMiOjEwMCwidmlfdXNlY2FzZV9pZCI6MTA3OTksImR1cmF0aW9uX3MiOjM0LCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&_nc_gid=Dt125BnOsJD0AENOZ8QRvw&_nc_ss=7b2a8&_nc_zt=28&oh=00_Af6AgVGNPPmfvCcFb9CgE8Vnxqwcx4_9PlgXQIY_Rx-ThQ&oe=6A1E15C2,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/680580401_1514090803559367_2831243715722103999_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=iJhdb2ssFqoQ7kNvwE2Zeyz&_nc_oc=AdqTfBZ9b7EjUfnPnNFWUfRL57Cz0QNFV-Lkj_76qD_561dtZg-zDVMlnFYGWEdSjbA&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=Dt125BnOsJD0AENOZ8QRvw&_nc_ss=7b2a8&oh=00_Af6R1AZa7LkdjpM38nQbTXVC6BDZM747tLloN9RApJPc4w&oe=6A1DEFD2,2026-06-01T23:29:06.000Z,2026-05-28,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/834462509182127.mp4,2026-05-28,2026-05-28,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/834462509182127_competitor_analysis.docx,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/834462509182127_supernova_rewrite.docx,,,
