row_rank,competitor_name,facebook_page_id,facebook_page_name,facebook_page_followers,target_country,ad_library_id,ad_library_url,ad_start_date,ad_end_date,has_low_impression_warning,ad_has_multiple_versions,ad_version_count,ad_primary_text,ad_description,ad_cta_label,ad_destination_url,ad_media_type,ad_distribution_platforms,creative_count_in_ad,creative_index_in_ad,creative_aspect_ratio,facebook_video_cdn_url_at_scrape,facebook_thumbnail_cdn_url_at_scrape,facebook_cdn_url_expiry_at_scrape,scrape_run_date,r2_public_url
1,Zinglish,680109015195106,Zinglish,,IN,1212657180911138,https://www.facebook.com/ads/library/?id=1212657180911138,2026-02-19,,false,false,1,हिंदी के मदद से English जानो 🤩🤩🤩  Sirf @₹3 में,हिंदी के मदद से English जानो 🤩🤩🤩,Install now,http://play.google.com/store/apps/details?id=com.capslock.zinglish,Video,"Facebook, Instagram, Audience Network, Messenger, Threads",1,0,9:16,https://video.fblr22-1.fna.fbcdn.net/o1/v/t2/f2/m412/AQO6ouGjwGRL3opalRYFHiC-8mRowSADJI8wRM8720S0iuFavKsQgg4c1fgHQjzpREQKu-PYiViVRSWsacmcFQ42-T5opgBS4kZex7O76Q.mp4?_nc_cat=104&_nc_oc=AdrtT-TTvj1w2maH9yLS5wnpIotfB5EvUMR3A65Dd9T40StmPpbMUR-X1BFuzydkuao&_nc_sid=8bf8fe&_nc_ht=video.fblr22-1.fna.fbcdn.net&_nc_ohc=9OJFGpInrTEQ7kNvwGoRNsZ&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTMyMzgxNzYzNjE4MzA2MCwiYXNzZXRfYWdlX2RheXMiOjk1LCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6MTIsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=CxQX97rrosHV6Le6P28jhQ&_nc_ss=7b289&_nc_zt=28&oh=00_Af5v95foXbCsDTO5U-FRnlGi2bXl2u_26-Jc31YbP51x4g&oe=6A1B02C6,https://scontent.fblr22-2.fna.fbcdn.net/v/t39.35426-6/638285457_918866267297846_3795325011640986515_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=105&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=bfbCX45CB1kQ7kNvwH6x9gI&_nc_oc=AdriqfGp0GzQLTYIPHLLY1AwEkizwKvcmkha6C-Qs06y2qMdWcj1ACdLICME0ae3lTE&_nc_zt=14&_nc_ht=scontent.fblr22-2.fna&_nc_gid=CxQX97rrosHV6Le6P28jhQ&_nc_ss=7b289&oh=00_Af5Vsd3HyyH0pyIM7cnJy-CHlz69zRFx7gnt8g4NenP9ew&oe=6A1B0E77,2026-05-30T15:31:18.000Z,2026-05-26,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1212657180911138.mp4
2,Zinglish,680109015195106,Zinglish,,IN,908822938160022,https://www.facebook.com/ads/library/?id=908822938160022,2026-01-28,,false,false,1,हिंदी के मदद से English जानो 🤩🤩🤩  Sirf @₹3 में,हिंदी के मदद से English जानो 🤩🤩🤩,Install now,http://play.google.com/store/apps/details?id=com.capslock.zinglish,Video,"Facebook, Instagram, Audience Network, Messenger, Threads",1,0,9:16,https://video.fblr22-2.fna.fbcdn.net/o1/v/t2/f2/m412/AQNjNQRb2U9C0Eemzusw9itRIhuab6ukXRZA1t7JiVkQj-zmXS3YvI0xZs0kENjphy3QLbXcTT5SEmSLQe1MXJ7BrSXvcpUSapsfhVJtjw.mp4?_nc_cat=110&_nc_oc=Adq6G9TQ3_m4H1V7FUmUhPqz4vyo22qRrJTgQiPSZ_BPlUZ_sIgx4lHV4fZqjeaBRqE&_nc_sid=8bf8fe&_nc_ht=video.fblr22-2.fna.fbcdn.net&_nc_ohc=QrmE7gI0rzQQ7kNvwHYDtnb&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTU0ODQxMzA4MjkwMTc3NiwiYXNzZXRfYWdlX2RheXMiOjExNywidmlfdXNlY2FzZV9pZCI6MTA3OTksImR1cmF0aW9uX3MiOjExLCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&_nc_gid=CxQX97rrosHV6Le6P28jhQ&_nc_ss=7b289&_nc_zt=28&oh=00_Af4jeQ4n0Ta6vsbmjueMhDJ2IbOU9RHdGpSsHDst0mn7tg&oe=6A1B0600,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/621771615_873905922106312_3362647613503927174_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=106&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=Hj8Us7ydrfQQ7kNvwHXmCZe&_nc_oc=Ado6aNF_YYRwrQmKacOCFxuEALhxgAm7k-1rQHrUzMjjEBviSS024OQXsg3GTP1_iPI&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=CxQX97rrosHV6Le6P28jhQ&_nc_ss=7b289&oh=00_Af6fDyHAlYnk2VZJGyeDxZ1dB62HWTlhT0WjzniVMmx5Hw&oe=6A1B1970,2026-05-30T15:45:04.000Z,2026-05-26,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/908822938160022.mp4
3,Zinglish,680109015195106,Zinglish,,IN,1414823376812512,https://www.facebook.com/ads/library/?id=1414823376812512,2026-02-17,,false,false,1,"தமிழின் உதவியுடன் English கற்றுக்கொள்ளுங்கள்
வெறும் ₹3-க்கே😎🤩","Tamil-லேயே, English கற்றுக்கொள்ளுங்கள்",Install now,http://play.google.com/store/apps/details?id=com.capslock.zinglish,Video,"Facebook, Instagram, Audience Network, Messenger, Threads",1,0,9:16,https://video.fblr22-2.fna.fbcdn.net/o1/v/t2/f2/m412/AQM6-okLr321VFUtY7ZvcFQ3gASb6W6p19srpng9yzJy3Q0O6S469l6J1Kt96ObAD0a8bCdCCNdIG2vAl5B2MZMMwrWcJuSFRNYGBe483w.mp4?_nc_cat=105&_nc_oc=Ado3_p4WuZRcGNsebjlSRf5_3wu9qwEH0tp4RQNccPgbQdoTELbZ4C9Y98EWfk_qA5o&_nc_sid=8bf8fe&_nc_ht=video.fblr22-2.fna.fbcdn.net&_nc_ohc=izSWRe9cbIkQ7kNvwGnrGrr&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTQ0NzA1ODE0Njk0OTY1MiwiYXNzZXRfYWdlX2RheXMiOjk3LCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6MzIsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=CxQX97rrosHV6Le6P28jhQ&_nc_ss=7b289&_nc_zt=28&oh=00_Af5kS7wc3EDJzpJGPQSZGXnMGrfVHw19NgHJuivZknOLjA&oe=6A1B2639,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/634720152_2099786490813060_6694751537137493792_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=109&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=PAk3jCGHIqQQ7kNvwEywYI_&_nc_oc=AdqVe0I2TgH7kkmv-bBWjFl0rqofqbatb_RgyyJe-tieYwrupENrG1bx8f1_eqhg8PA&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=CxQX97rrosHV6Le6P28jhQ&_nc_ss=7b289&oh=00_Af6Ns2Mr3KVkeyCUpyEPub3AoV7MiVzLAJTAqEOCxbOnzA&oe=6A1B293F,2026-05-30T18:02:33.000Z,2026-05-26,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1414823376812512.mp4
4,Zinglish,680109015195106,Zinglish,,IN,900964249487648,https://www.facebook.com/ads/library/?id=900964249487648,2026-03-13,,false,false,1,हिंदी के मदद से English जानो 🤯 Sirf @₹3 में,Ghar baithe smart bano 😎,Install now,http://play.google.com/store/apps/details?id=com.capslock.zinglish,Video,"Facebook, Instagram, Audience Network, Messenger, Threads",1,0,9:16,https://video.fblr22-1.fna.fbcdn.net/o1/v/t2/f2/m412/AQPSr0AVH6rGbtTy62nVfNUnP-2Q3ZJJZVkYx-Dd4-YbzAoZn5Z7WTUbV4XsRY_RPDiRk8duv9MPZKPTBIHtHpCUdPuTpleV6PrrMuvXmA.mp4?_nc_cat=108&_nc_oc=Adr2FPkmar67ch992F49pxKjWHVJLUfCc-0d2FOzJdh53mpcxVC8gsq7nqBtNe8Yavw&_nc_sid=8bf8fe&_nc_ht=video.fblr22-1.fna.fbcdn.net&_nc_ohc=3oIPb5cmJaYQ7kNvwHyVkuy&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTU3NjMyMjkyNjc3NTc0OCwiYXNzZXRfYWdlX2RheXMiOjc0LCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6MTUsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=CxQX97rrosHV6Le6P28jhQ&_nc_ss=7b289&_nc_zt=28&oh=00_Af5tYxV70LE5BZZq8KFQIN8KgbadbgFnCx2vVNfie2_qeQ&oe=6A1B1626,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/650801474_923810583966019_6607060046103774349_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=109&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=qnJdAkacRLYQ7kNvwHrMGAC&_nc_oc=AdpA2JGCykSmw2GP-UrurJugweiLbuyj6vpk6W-K3xfxqTw-uwUchQ8dyM2grqvkrdw&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=CxQX97rrosHV6Le6P28jhQ&_nc_ss=7b289&oh=00_Af623qqJJn7PFndoTumFxzNZ03iahYQfX3W5-0qgSNlKHw&oe=6A1AFF61,2026-05-30T16:53:58.000Z,2026-05-26,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/900964249487648.mp4
5,Zinglish,680109015195106,Zinglish,,IN,2145402302955929,https://www.facebook.com/ads/library/?id=2145402302955929,2026-02-19,,false,false,1,हिंदी के मदद से English जानो 🤩🤩🤩  Sirf @₹3 में,हिंदी के मदद से English जानो 🤩🤩🤩,Install now,http://play.google.com/store/apps/details?id=com.capslock.zinglish,Video,"Facebook, Instagram, Audience Network, Messenger, Threads",1,0,9:16,https://video.fblr22-2.fna.fbcdn.net/o1/v/t2/f2/m412/AQPRNUV4DUfeNWqssv45BDEUkh6tXAJ51at2TqtV9V5E6lqkB7oQA1blyCPGvi7pOg6R2IgvO4ikftau5ogMqIezBuJwSvIk8nOMM0iKvg.mp4?_nc_cat=111&_nc_oc=Adqx1IMNOU8tJJFlsg_EArFxHozdWii1SKkuaqZATmdofK-Oucmo2OVh3BXOkuxL5xE&_nc_sid=8bf8fe&_nc_ht=video.fblr22-2.fna.fbcdn.net&_nc_ohc=hZuFrpSt7t4Q7kNvwHjcumB&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6OTE1NjEzMjg0MzIxNDA2LCJhc3NldF9hZ2VfZGF5cyI6OTUsInZpX3VzZWNhc2VfaWQiOjEwNzk5LCJkdXJhdGlvbl9zIjoxMSwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&_nc_gid=CxQX97rrosHV6Le6P28jhQ&_nc_ss=7b289&_nc_zt=28&oh=00_Af79xFbIt64hQ5XTgzRMyz0tgPO-ugchDxIHPboiM65Brg&oe=6A1B05FB,https://scontent.fblr22-2.fna.fbcdn.net/v/t39.35426-6/638827824_3050336001841632_722025433752557899_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=111&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=iLJ8F0Q97f4Q7kNvwG-sTWX&_nc_oc=AdqjK0v5IkVpC3kGhwUmTKtPFDcnjIUzpUsMNB5X6bK41XEoarhpQJyNtldsfRn6AFg&_nc_zt=14&_nc_ht=scontent.fblr22-2.fna&_nc_gid=CxQX97rrosHV6Le6P28jhQ&_nc_ss=7b289&oh=00_Af5D_f0cngi7neGqtUwPuLM5b_jQ7a_IhXtfrxADakt1vw&oe=6A1B0B4C,2026-05-30T15:44:59.000Z,2026-05-26,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/2145402302955929.mp4
6,Zinglish,680109015195106,Zinglish,,IN,1214331300401198,https://www.facebook.com/ads/library/?id=1214331300401198,2026-02-18,,false,false,1,"தமிழின் உதவியுடன் English கற்றுக்கொள்ளுங்கள்
வெறும் ₹3-க்கே😎🤩","Tamil-லேயே, English கற்றுக்கொள்ளுங்கள்",Install now,http://play.google.com/store/apps/details?id=com.capslock.zinglish,Video,"Facebook, Instagram, Audience Network, Messenger, Threads",1,0,9:16,https://video.fblr22-2.fna.fbcdn.net/o1/v/t2/f2/m412/AQM0ChZtbqp1BahC2-xJgYqV0Sucla5ULadoS-UYzkmTsKI8fQXTlYConOpPE7-K27KjuVHKAngnUmB1zifmn7iJHXv0uzLfBzh88EMNhQ.mp4?_nc_cat=111&_nc_oc=AdpC_6vLAQdEZvvRYtd6acaHSyov1WQyBm5POzTZq70wHnMc9B-_1NeGul74ijk3hxg&_nc_sid=8bf8fe&_nc_ht=video.fblr22-2.fna.fbcdn.net&_nc_ohc=BUEanMu66DIQ7kNvwHvKObH&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6OTE1NjExNDY4MDc4MTYyLCJhc3NldF9hZ2VfZGF5cyI6OTYsInZpX3VzZWNhc2VfaWQiOjEwNzk5LCJkdXJhdGlvbl9zIjoyMiwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&_nc_gid=CxQX97rrosHV6Le6P28jhQ&_nc_ss=7b289&_nc_zt=28&oh=00_Af544j2ZY3rVhhq3ibPlBEQjwEoY8ww_QIKErBAcslp3CA&oe=6A1B2DA3,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/638094538_935452129160689_7110617340147124269_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=103&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=_2pdAkJAXvQQ7kNvwGuye6c&_nc_oc=Adpy3H-FFiDWte0F24-npV6-W66if4aCz7zobuDCNOWPHMs95g9xhNNSJmKdcx20CSQ&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=CxQX97rrosHV6Le6P28jhQ&_nc_ss=7b289&oh=00_Af6OaLTxOFRdueixiRXJlXywsvviQPEyMVo7EJxEUcq3KA&oe=6A1B324E,2026-05-30T18:34:11.000Z,2026-05-26,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1214331300401198.mp4
7,Zinglish,680109015195106,Zinglish,,IN,1417738519758197,https://www.facebook.com/ads/library/?id=1417738519758197,2026-02-27,,false,false,1,"தமிழின் உதவியுடன் English கற்றுக்கொள்ளுங்கள்
வெறும் ₹3-க்கே😎🤩","Tamil-லேயே, English கற்றுக்கொள்ளுங்கள்",Install now,http://play.google.com/store/apps/details?id=com.capslock.zinglish,Video,"Facebook, Instagram, Audience Network, Messenger, Threads",1,0,9:16,https://video.fblr22-1.fna.fbcdn.net/o1/v/t2/f2/m412/AQP00RnSbm-LqU_X4aKB-dVo1iCiAkWG3-wE3TtigmAj1mzyfWTE0JtMOX8hPJVSyWEXA87Y6QL2_BoTVptxBLJ0YcfK5ezCWXDTXUqmOg.mp4?_nc_cat=108&_nc_oc=Adrxt1N-H-wnLxiT2Y5RSFwujAs3KrAzKMdJcPC8L8fc_HOah8PTL4mu_ZQRdPQSn3Q&_nc_sid=8bf8fe&_nc_ht=video.fblr22-1.fna.fbcdn.net&_nc_ohc=c_XRZsux12AQ7kNvwHvqemi&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MjE1ODUzNDM4ODA1MjU4NywiYXNzZXRfYWdlX2RheXMiOjg3LCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6MTksInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=CxQX97rrosHV6Le6P28jhQ&_nc_ss=7b289&_nc_zt=28&oh=00_Af51ovebKM-lPGmBBfP_prpeVHvbxD8nYeoe04jPhu9ZMA&oe=6A1B2F1A,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/641265563_1242076261346058_2872687773376928707_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=102&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=nsTAl_dLZdIQ7kNvwEn1God&_nc_oc=AdoTNzMaRnPUBtCWc23s09CTxO590zmGlIuYlsFLVulw3w5gkY0EszuliqI_wpkKhb4&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=CxQX97rrosHV6Le6P28jhQ&_nc_ss=7b289&oh=00_Af584O95jt9sa5w77perekJVgwywhWuwEsl5RifsUjyetw&oe=6A1B2B4B,2026-05-30T18:40:26.000Z,2026-05-26,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1417738519758197.mp4
8,Zinglish,680109015195106,Zinglish,,IN,1457798545962459,https://www.facebook.com/ads/library/?id=1457798545962459,2026-03-03,,false,false,1,ಕನ್ನಡದ ಸಹಾಯದಿಂದ English ಕಲಿಯಿರಿ — ಕೇವಲ ₹3ಕ್ಕೆ🤩,ಕನ್ನಡದಲ್ಲೇ English ಕಲಿಯಿರಿ — ಕೇವಲ ₹3ಕ್ಕೆ🤩,Install now,http://play.google.com/store/apps/details?id=com.capslock.zinglish,Video,"Facebook, Instagram, Audience Network, Messenger, Threads",1,0,9:16,https://video.fblr22-2.fna.fbcdn.net/o1/v/t2/f2/m412/AQM4_C6hZzxD_ZRvCa3IFbG0tsbv7-tOsG2-sIbfALBpsh39BaX5i7DOUACWdYqVUZ0iGL-4DAd3DqEiuN-GdJtJwTjCoAkKihSyvMMtCw.mp4?_nc_cat=105&_nc_oc=AdrPMjtqKCa_ng1XblEmOQlCX-EAQO6JGkXPb90N5QNgfEVtbXBiVbKacfhNMNm0xao&_nc_sid=8bf8fe&_nc_ht=video.fblr22-2.fna.fbcdn.net&_nc_ohc=W6z0Qqmi02sQ7kNvwFz3vV1&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MjAyNDczNjg1MTc5NTczMCwiYXNzZXRfYWdlX2RheXMiOjgzLCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6MjQsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=CxQX97rrosHV6Le6P28jhQ&_nc_ss=7b289&_nc_zt=28&oh=00_Af6sPUylBqR0HYT4KVdRxAbHSrdTXo3AdYVfT0i3uAjKdg&oe=6A1B2FFD,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/646692804_949059744250370_1831653799445858307_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=104&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=BZlQse6s5oAQ7kNvwFFnmKh&_nc_oc=AdoviJv5E4VaDso3sTv3AxEhBQYqTFXquXs92S8zC7fYHLBJXgctsuob30fbz02yiiU&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=CxQX97rrosHV6Le6P28jhQ&_nc_ss=7b289&oh=00_Af4fQWavZ24O8Nl1goLL25IWC4CRvTBdJyfuSUWeSCKLHw&oe=6A1B2CEE,2026-05-30T18:44:13.000Z,2026-05-26,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1457798545962459.mp4
9,Zinglish,680109015195106,Zinglish,,IN,1403710238171409,https://www.facebook.com/ads/library/?id=1403710238171409,2026-03-07,,false,false,1,"தமிழின் உதவியுடன் English கற்றுக்கொள்ளுங்கள்
வெறும் ₹3-க்கே😎🤩","Tamil-லேயே, English கற்றுக்கொள்ளுங்கள்",Install now,http://play.google.com/store/apps/details?id=com.capslock.zinglish,Video,"Facebook, Instagram, Audience Network, Messenger, Threads",1,0,9:16,https://video.fblr22-2.fna.fbcdn.net/o1/v/t2/f2/m412/AQMjcnSP4CxODqzvrHAlWF0AUHLQmAnY6n21ntT_OqdAp93zYAvoxEjCxpirVEQiH0krzd4jlZB0BIOMX_dQYcU9aFsphWznoc0lrcTCeQ.mp4?_nc_cat=107&_nc_oc=AdqSq7Hwou5DiZH4Q9thP5ASLiZo6dE04N8x40TnWzOXPWYxRe5CcR0smkBiVxDG348&_nc_sid=8bf8fe&_nc_ht=video.fblr22-2.fna.fbcdn.net&_nc_ohc=QZ4jOH-Fek8Q7kNvwFaG9yS&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTYyMTQ1NzI5ODg5MDg2OCwiYXNzZXRfYWdlX2RheXMiOjc5LCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6MTgsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=CxQX97rrosHV6Le6P28jhQ&_nc_ss=7b289&_nc_zt=28&oh=00_Af6x1iKhd53D3e2hPh11BSYo5wLfVKaCZqRb1543so9h9w&oe=6A1B0097,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/648505139_2029540807595532_3074214338553158271_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=101&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=4hBATu4gbC0Q7kNvwERkZ8h&_nc_oc=AdoAA6pCzg6hMGIXc4Pdnc_-KnNjV9fNn86u5t22YyYy-HRdV8QT2l-Op58cN3M7gS0&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=CxQX97rrosHV6Le6P28jhQ&_nc_ss=7b289&oh=00_Af7-efb3v_wAy96eT-HvHxbyK7EDIxF-3wsrHApl-h2RDA&oe=6A1B27B9,2026-05-30T15:21:59.000Z,2026-05-26,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/1403710238171409.mp4
10,Zinglish,680109015195106,Zinglish,,IN,895901269731389,https://www.facebook.com/ads/library/?id=895901269731389,2026-02-21,,false,false,1,हिंदी के मदद से English जानो 🤩🤩🤩  Sirf @₹3 में,हिंदी के मदद से English जानो 🤩🤩🤩,Install now,http://play.google.com/store/apps/details?id=com.capslock.zinglish,Video,"Facebook, Instagram, Audience Network, Messenger, Threads",1,0,9:16,https://video.fblr22-1.fna.fbcdn.net/o1/v/t2/f2/m412/AQMajexN8vWS8ZXfp6UDt2r4trEHevxvDRFP9QiOYXl3MTcX2WWvU13rUoyY3KHNBTtEaMPUcLOCl9p0C55ZNskf0w2KeWgdJKYBocbE6Q.mp4?_nc_cat=106&_nc_oc=AdrAx5Q72G1VfLSabm3a81XohG0Q6lCYZRT2y0Tjcv68bU3CkOTq_rCZJu5kgY4ukYc&_nc_sid=8bf8fe&_nc_ht=video.fblr22-1.fna.fbcdn.net&_nc_ohc=K-uOawpc-lgQ7kNvwFfJPkN&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6NDQxNzY2MDIwMTc4MjU5MywiYXNzZXRfYWdlX2RheXMiOjk0LCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6MTEsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=CxQX97rrosHV6Le6P28jhQ&_nc_ss=7b289&_nc_zt=28&oh=00_Af5JkIa6oKdp2Drr1reDo73xmvdmx0qAt2tqNDxxOlnuUQ&oe=6A1B0468,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/640390270_1844673949539235_5086220979782024074_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=106&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=uUBMrZTSaVAQ7kNvwEftKPc&_nc_oc=AdqEY0QCicq6lTU0y-5aVguEArOcfG3JkwabG51JcsrZPLc5wH2blb3-XEpsSsVsnOA&_nc_zt=14&_nc_ht=scontent.fblr22-1.fna&_nc_gid=CxQX97rrosHV6Le6P28jhQ&_nc_ss=7b289&oh=00_Af5xe8UCz-rcejLFZ1NjNkuMqy6zWvrZHSc6fI19-uDb2A&oe=6A1B23C0,2026-05-30T15:38:16.000Z,2026-05-26,https://pub-893b4a6a607b4221a894bf861da7914e.r2.dev/895901269731389.mp4
